Date,Description,Details,Reference Number,Check Number,Withdrawals,Debits,Payments,Deposits,Credits,Amount,Balance,Running Balance,Transaction Type,Currency
2025-01-03,Settlement from Amex,Processor Payout Batch,SET-20250101-Amex-Amex-AUD,,0,0,0,15222.22,15222.22,15222.22,1015222.22,1015222.22,ACH,AUD
2025-01-03,Settlement from PayPal,Processor Payout Batch,SET-20250101-PayPal-N/A-USD,,0,0,0,678343.79,678343.79,678343.79,1693566.01,1693566.01,ACH,USD
2025-01-03,Settlement from PayPal,Processor Payout Batch,SET-20250101-PayPal-N/A-GBP,,0,0,0,102989.59,102989.59,102989.59,1796555.6,1796555.6,ACH,GBP
2025-01-03,Settlement from PayPal,Processor Payout Batch,SET-20250101-PayPal-N/A-EUR,,0,0,0,168351.52,168351.52,168351.52,1964907.12,1964907.12,ACH,EUR
2025-01-03,Settlement from PayPal,Processor Payout Batch,SET-20250101-PayPal-N/A-CAD,,0,0,0,82463.12,82463.12,82463.12,2047370.2400000002,2047370.2400000002,ACH,CAD
2025-01-03,Settlement from PayPal,Processor Payout Batch,SET-20250101-PayPal-N/A-AUD,,0,0,0,96608.97,96608.97,96608.97,2143979.2100000004,2143979.2100000004,ACH,AUD
2025-01-03,Settlement from GoCardless,Processor Payout Batch,SET-20250101-GoCardless-N/A-USD,,0,0,0,586609.63,586609.63,586609.63,2730588.8400000003,2730588.8400000003,ACH,USD
2025-01-03,Settlement from GoCardless,Processor Payout Batch,SET-20250101-GoCardless-N/A-EUR,,0,0,0,126643.02,126643.02,126643.02,2857231.8600000003,2857231.8600000003,ACH,EUR
2025-01-03,Settlement from GoCardless,Processor Payout Batch,SET-20250101-GoCardless-N/A-CAD,,0,0,0,99735.2,99735.2,99735.2,2956967.0600000005,2956967.0600000005,ACH,CAD
2025-01-03,Settlement from GoCardless,Processor Payout Batch,SET-20250101-GoCardless-N/A-AUD,,0,0,0,60413.18,60413.18,60413.18,3017380.2400000007,3017380.2400000007,ACH,AUD
2025-01-03,Settlement from ClientLine,Processor Payout Batch,SET-20250101-ClientLine-Visa-USD,,0,0,0,213029.77,213029.77,213029.77,3230410.0100000007,3230410.0100000007,ACH,USD
2025-01-03,Settlement from ClientLine,Processor Payout Batch,SET-20250101-ClientLine-Visa-GBP,,0,0,0,34421.86,34421.86,34421.86,3264831.8700000006,3264831.8700000006,ACH,GBP
2025-01-03,Settlement from GoCardless,Processor Payout Batch,SET-20250101-GoCardless-N/A-GBP,,0,0,0,129921.22,129921.22,129921.22,3394753.090000001,3394753.090000001,ACH,GBP
2025-01-03,Settlement from ClientLine,Processor Payout Batch,SET-20250101-ClientLine-Visa-CAD,,0,0,0,31204.85,31204.85,31204.85,3425957.940000001,3425957.940000001,ACH,CAD
